id_contrato,pd_oof,pd_final
C000001,0.03831448266921638,0.03099044296214313
C000002,0.207396937957597,0.1699549016120306
C000003,0.038748069770923856,0.037228707412180095
C000004,0.05866187974527015,0.057380303452044444
C000005,0.053892486242109794,0.04602132210135622
C000006,0.04672384027383612,0.039045972511564574
C000007,0.033211781394840115,0.04046821836958342
C000008,0.03033836160909307,0.030171037119813005
C000009,0.04199925513372502,0.05529351293082292
C000010,0.09531853981611059,0.1135613383584138
C000011,0.09595201674001148,0.10957534766083779
C000012,0.032814438588604944,0.0370681208473405
C000013,0.042393345873615866,0.04113370221986877
C000014,0.04645802079803213,0.04689214150417226
C000015,0.04037522928324858,0.046807249895450306
C000016,0.05088893390692488,0.059645741949527785
C000017,0.1367948070652703,0.11055367011676687
C000018,0.06013336194848014,0.062439955955754856
C000019,0.11356991240769043,0.08179292584139461
C000020,0.04916898554927475,0.045140028766855175
C000021,0.11660135708285888,0.07741874911140958
C000022,0.04663954045853698,0.04178791460596355
C000023,0.05569593443504459,0.05599834156695534
C000024,0.03332554997711949,0.0309397374912944
C000025,0.08470440899088463,0.07580629525907552
C000026,0.37953333930109007,0.4243706370492085
C000027,0.05761929363850995,0.06288512245636182
C000028,0.046006121451930726,0.058221507699659794
C000029,0.040312717776983184,0.0333878295802319
C000030,0.08989467917631305,0.07887311283104487
C000031,0.032451890254241646,0.03206007404484904
C000032,0.09008185765438018,0.08940741978516634
C000033,0.06815211934548784,0.05934909464674326
C000034,0.0904411645375185,0.07410351980087557
C000035,0.08482963974390526,0.10623869654756217
C000036,0.03535437433708229,0.034286644971186386
C000037,0.023423115121400533,0.025199320715777695
C000038,0.050750887196639935,0.04351138067451708
C000039,0.03938057457317591,0.03361050576416816
C000040,0.08299313153209589,0.07944466233003727
C000041,0.2002512220690464,0.18495114000813878
C000042,0.042830693287891304,0.032003313341259526
C000043,0.04046278765727491,0.0401331900913999
C000044,0.03974599490827047,0.03992962843596694
C000045,0.020809708817065127,0.027130456147008354
C000046,0.03368602292262658,0.041951448156489934
C000047,0.08943183503706723,0.0941617724939287
C000048,0.05191759619817243,0.04800644682605765
C000049,0.05197276747070777,0.04718615877245299
C000050,0.033120402848840325,0.031049900767487558
C000051,0.04548283814742141,0.042432986571643114
C000052,0.16334736887195764,0.21035511022877515
C000053,0.07137709367527378,0.07859542952940968
C000054,0.10522997427826511,0.08741918718920885
C000055,0.055358630682121324,0.06819790054455657
C000056,0.0418834131196072,0.04308626704558048
C000057,0.04633030601331826,0.08360854780266677
C000058,0.03395462183128496,0.034401982014466786
C000059,0.2595254416771695,0.1374868829703237
C000060,0.050083877084994746,0.04032275840792687
C000061,0.10176158761709556,0.10673141085752547
C000062,0.09026114515155617,0.0834942244401136
C000063,0.03333402683532871,0.034424990472038765
C000064,0.057250046244129084,0.049966243334562774
C000065,0.08522667193686952,0.06131804976711615
C000066,0.038439172821844926,0.042066544372895
C000067,0.06486589729825434,0.06869304735914973
C000068,0.036263421418745015,0.03633787190153191
C000069,0.025204303301480123,0.02969478006083141
C000070,0.45740105533097913,0.3848474988813078
C000071,0.04533203774697005,0.037949540587799334
C000072,0.03970138743875429,0.04496823960930553
C000073,0.03608105845992167,0.036335585266456874
C000074,0.04066656429421582,0.03273372813683397
C000075,0.12305598337461976,0.09211851974619191
C000076,0.22388238177469316,0.2877222877086738
C000077,0.08623398702286561,0.062552102702751
C000078,0.1288416819068796,0.11784467760744402
C000079,0.04733891614223557,0.042272058578112386
C000080,0.05469023257327976,0.05958921868894118
C000081,0.15128728714469236,0.16606222468658458
C000082,0.036298411801311437,0.03594103059964193
C000083,0.03307682874797031,0.03570964739880595
C000084,0.03762786000884107,0.044509149039447325
C000085,0.036862344212334974,0.03265467473686398
C000086,0.09104381823348795,0.08690061471392842
C000087,0.05165712830779856,0.039925242988450176
C000088,0.038619236176420324,0.038970584050620385
C000089,0.07641562158364143,0.0799347689432208
C000090,0.16534532786709283,0.20259162326115326
C000091,0.059065132806912224,0.062273202675835984
C000092,0.2391180354436509,0.2339139092323525
C000093,0.060665507360847984,0.06504528729100792
C000094,0.26310772821810235,0.2454740074447881
C000095,0.10744804843864142,0.08781484521859913
C000096,0.09760844966891465,0.09752674311777007
C000097,0.09160949637451021,0.07930751827910414
C000098,0.07901601244605036,0.0806359625433641
C000099,0.04560125313257479,0.04908413727112037
C000100,0.07094885451189215,0.06668186067463658
C000101,0.09510060163733083,0.0833588351293697
C000102,0.04470882550062822,0.042001666666534446
C000103,0.24475103212713883,0.3255387985807485
C000104,0.30150769807178823,0.3621463047356495
C000105,0.05110548293034428,0.052790442739557165
C000106,0.2103857162217046,0.18898608800730526
C000107,0.03969751723303177,0.031199418528424273
